rule_id,condition,action,rule_type,enabled,source_ids
RULE_BEGINNER_ADVANCED_METHODS,experience=beginner,Exclude advanced training methods unless manually approved.,HARD,1,SRC_CURATED_V1
RULE_EQUIPMENT,equipment_unavailable,Exclude exercises requiring unavailable equipment.,HARD,1,SRC_CURATED_V1
RULE_EXERCISE_EXCLUSION,exercise_excluded=true,Never select excluded exercise.,HARD,1,SRC_CURATED_V1
RULE_MEDICAL_REVIEW,medical_review_required=true,Do not auto-prescribe; require qualified review.,HARD,1,SRC_CURATED_V1
RULE_AI_DISABLED,ai_selection_allowed=false,AI cannot select automatically; manual approval required.,HARD,1,SRC_CURATED_V1
RULE_GOAL_HYPERTROPHY,goal=HYPERTROPHY,Prefer hypertrophy_suitability_1_5 >= 4.,SOFT,1,SRC_CURATED_V1
RULE_GOAL_STRENGTH,"goal in GENERAL_STRENGTH,MAX_STRENGTH",Prefer strength_suitability_1_5 >= 4.,SOFT,1,SRC_CURATED_V1
RULE_GOAL_POWER,goal=POWER,Prefer power_suitability_1_5 >= 4 and technique-appropriate exercises.,SOFT,1,SRC_CURATED_V1
RULE_LOW_TIME,time_available<40min,Prefer lower setup complexity and supersets where compatible.,SOFT,1,SRC_CURATED_V1
RULE_CROWDED_GYM,context=crowded_gym,Prefer exercises with easy substitutions and minimal station monopolization.,SOFT,1,SRC_CURATED_V1
RULE_FATIGUE,readiness=low,Prefer fatigue_cost_1_5 <= 3; reduce volume/intensity within programmed bounds.,SOFT,1,SRC_CURATED_V1
RULE_PATTERN_BALANCE,session=upper_body,Cover requested push/pull patterns without unnecessary duplication.,SOFT,1,SRC_CURATED_V1
RULE_SUBSTITUTION,substitution_requested=true,Match movement pattern + primary muscle + goal + difficulty before equipment similarity.,SOFT,1,SRC_CURATED_V1
RULE_NO_DUPLICATE_FAMILY,same_session=true,Avoid redundant variants from the same exercise family unless intentionally programmed.,SOFT,1,SRC_CURATED_V1
RULE_LOG_PRESCRIPTION,workout_logged=true,Preserve prescribed values separately from performed values.,HARD,1,SRC_WGER;SRC_CURATED_V1
