goal_id,name,definition,source_ids
GENERAL_FITNESS,General Fitness,Improve broad physical capacity and consistency.,SRC_ACSM_2026_FITNESS;SRC_ACSM_2026_RT;SRC_CURATED_V1
GENERAL_STRENGTH,General Strength,Increase force production across common movement patterns.,SRC_ACSM_2026_FITNESS;SRC_ACSM_2026_RT;SRC_CURATED_V1
MAX_STRENGTH,Maximal Strength,Increase the highest force that can be produced in a movement.,SRC_ACSM_2026_FITNESS;SRC_ACSM_2026_RT;SRC_CURATED_V1
HYPERTROPHY,Muscle Hypertrophy,Increase skeletal-muscle size.,SRC_ACSM_2026_FITNESS;SRC_ACSM_2026_RT;SRC_CURATED_V1
MUSCULAR_ENDURANCE,Muscular Endurance,Sustain repeated muscular contractions or submaximal work.,SRC_ACSM_2026_FITNESS;SRC_ACSM_2026_RT;SRC_CURATED_V1
POWER,Muscular Power,Produce force rapidly.,SRC_ACSM_2026_FITNESS;SRC_ACSM_2026_RT;SRC_CURATED_V1
POWER_ENDURANCE,Power Endurance,Repeat high-power efforts with limited performance drop.,SRC_ACSM_2026_FITNESS;SRC_ACSM_2026_RT;SRC_CURATED_V1
STRENGTH_ENDURANCE,Strength Endurance,Maintain force output over repeated efforts.,SRC_ACSM_2026_FITNESS;SRC_ACSM_2026_RT;SRC_CURATED_V1
AEROBIC_BASE,Aerobic Base,Improve low-to-moderate intensity aerobic capacity.,SRC_ACSM_2026_FITNESS;SRC_ACSM_2026_RT;SRC_CURATED_V1
VO2MAX,VO2max / High Aerobic Capacity,Improve maximal aerobic power.,SRC_ACSM_2026_FITNESS;SRC_ACSM_2026_RT;SRC_CURATED_V1
LACTATE_THRESHOLD,Threshold Performance,Improve sustainable high-aerobic intensity.,SRC_ACSM_2026_FITNESS;SRC_ACSM_2026_RT;SRC_CURATED_V1
ANAEROBIC_CAPACITY,Anaerobic Capacity,Improve tolerance and output during intense short-duration work.,SRC_ACSM_2026_FITNESS;SRC_ACSM_2026_RT;SRC_CURATED_V1
SPEED,Speed,Improve acceleration or maximal sprint speed.,SRC_ACSM_2026_FITNESS;SRC_ACSM_2026_RT;SRC_CURATED_V1
AGILITY,Agility / COD,"Improve acceleration, braking, direction change, and reactive movement.",SRC_ACSM_2026_FITNESS;SRC_ACSM_2026_RT;SRC_CURATED_V1
MOBILITY,Mobility,Improve active control through useful joint ranges.,SRC_ACSM_2026_FITNESS;SRC_ACSM_2026_RT;SRC_CURATED_V1
FLEXIBILITY,Flexibility,Increase or maintain range of motion.,SRC_ACSM_2026_FITNESS;SRC_ACSM_2026_RT;SRC_CURATED_V1
BALANCE,Balance,Improve postural control and proprioception.,SRC_ACSM_2026_FITNESS;SRC_ACSM_2026_RT;SRC_CURATED_V1
BODY_COMPOSITION,Body Composition Support,Support energy expenditure and lean-mass retention/gain through exercise.,SRC_ACSM_2026_FITNESS;SRC_ACSM_2026_RT;SRC_CURATED_V1
SPORT_PERFORMANCE,Sport Performance,Improve capacities relevant to a chosen sport.,SRC_ACSM_2026_FITNESS;SRC_ACSM_2026_RT;SRC_CURATED_V1
TECHNIQUE,Technique / Skill,Improve movement quality and technical efficiency.,SRC_ACSM_2026_FITNESS;SRC_ACSM_2026_RT;SRC_CURATED_V1
RECOVERY,Recovery,Promote low-stress movement and readiness between harder sessions.,SRC_ACSM_2026_FITNESS;SRC_ACSM_2026_RT;SRC_CURATED_V1
