table,purpose,key,important_fields
app_gym_profile,Saved gym/home/travel setup profile.,gym_profile_id,"name, location_label, is_default, notes"
app_gym_equipment,Equipment available in a gym/setup profile.,gym_profile_id + equipment_id,"equipment_id, available, quantity, notes"
app_workout_plan,Editable pre-session workout frame/template.,plan_id,"name, goal_id, workout_type_id, gym_profile_id, status, duration_target_min, recurring_rule"
app_workout_plan_item,Ordered exercise instances inside a plan; same exercise can appear more than once.,plan_item_id,"plan_id, exercise_id, sequence_index, source, locked, notes"
app_planned_set,Planned set prescription before performance.,planned_set_id,"plan_item_id, set_index, set_type, target_reps_min/max, target_weight, target_rir/rpe, rest_seconds"
app_workout_session,Immutable-ish live-session container created from a plan snapshot.,session_id,"plan_id, started_at, ended_at, state, gym_profile_id"
app_session_item,Session copy of plan item with live order/status/substitution links.,session_item_id,"session_id, original_plan_item_id, exercise_id, sequence_index, state, substituted_from_item_id"
app_performed_set,What the user actually did.,performed_set_id,"session_item_id, planned_set_id, set_index, actual_reps, actual_weight, actual_rir/rpe, completed_at"
app_rest_timer,Rest timers created by completed sets.,timer_id,"session_id, performed_set_id, duration_seconds, started_at, ends_at, status"
app_session_event,"Audit trail of reorders, edits, substitutions, skips, additions, and timer actions.",event_id,"session_id, event_type, entity_id, old_value_json, new_value_json, created_at"
app_program_schedule,Recurring multi-workout plan/program.,schedule_id,"name, start_date, recurrence_rule, active"
app_program_schedule_day,Maps recurring days/slots to workout plans.,schedule_day_id,"schedule_id, cycle_day, plan_id"
app_user_exercise_history,Convenience view/cache of recent exercise performance for future recommendations.,user_id + exercise_id,"last_performed_at, last_weight, last_reps, best_estimate, recent_volume"
